geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
National,NA,NA,All,2011-12,201152,10,3986,3996,50089,7.9777995169,105.27433033
National,NA,NA,All,2011-12,201201,10,4360,4370,51630,8.4640712764,108.51312015
National,NA,NA,All,2011-12,201202,7,4262,4269,51171,8.3426159348,107.54841896
National,NA,NA,All,2011-12,201203,9,4274,4283,51088,8.3835734419,107.37397409
National,NA,NA,All,2011-12,201204,11,4232,4243,50238,8.4457980015,105.58749041
National,NA,NA,All,2011-12,201205,9,4029,4038,49642,8.1342411668,104.33485009
National,NA,NA,All,2011-12,201206,19,4027,4046,49912,8.10626703,104.90232138
National,NA,NA,All,2011-12,201207,15,4133,4148,50720,8.1782334385,106.60053174
National,NA,NA,All,2011-12,201208,29,4195,4224,50950,8.2904808636,107.08393321
National,NA,NA,All,2011-12,201209,43,4238,4281,50942,8.4036747674,107.06711924
National,NA,NA,All,2011-12,201210,59,4351,4410,50828,8.6763201385,106.82752026
National,NA,NA,All,2011-12,201211,62,4300,4362,50844,8.5791833845,106.86114818
National,NA,NA,All,2011-12,201212,57,4065,4122,49361,8.3507222301,103.74425961
National,NA,NA,All,2011-12,201213,55,3802,3857,48363,7.9751049356,101.6467176
National,NA,NA,All,2011-12,201214,48,3830,3878,48443,8.0052845612,101.81485724
National,NA,NA,All,2011-12,201215,23,3761,3784,49119,7.703739897,103.2356372
National,NA,NA,All,2011-12,201216,37,3697,3734,48946,7.6288154292,102.87203523
National,NA,NA,All,2011-12,201217,37,3578,3615,48173,7.5042035995,101.24738595
National,NA,NA,All,2011-12,201218,27,3533,3560,47834,7.4424049839,100.53489423
National,NA,NA,All,2011-12,201219,15,3333,3348,46782,7.1565986918,98.323857964
National,NA,NA,All,2011-12,201220,16,3335,3351,47054,7.1216049645,98.89553274
National,NA,NA,All,2011-12,201221,14,3295,3309,46809,7.0691533679,98.380605093
National,NA,NA,All,2011-12,201222,8,3144,3152,46099,6.8374585132,96.888365788
National,NA,NA,All,2011-12,201223,9,3075,3084,46419,6.6438311898,97.560924348
National,NA,NA,All,2011-12,201224,4,3158,3162,46865,6.7470393684,98.498302841
National,NA,NA,All,2011-12,201225,2,3152,3154,46199,6.8269875971,97.098540338
National,NA,NA,All,2011-12,201226,3,3162,3165,46152,6.857774311,96.999758299
National,NA,NA,All,2011-12,201227,6,3008,3014,46783,6.4425111686,98.32595971
National,NA,NA,All,2011-12,201228,2,3042,3044,46012,6.6156654786,96.705513929
National,NA,NA,All,2011-12,201229,1,3019,3020,46016,6.5629346314,96.713920911
National,NA,NA,All,2011-12,201230,1,2890,2891,45729,6.3220275974,96.110719953
National,NA,NA,All,2011-12,201231,1,3042,3043,45987,6.6170874378,96.652970292
National,NA,NA,All,2011-12,201232,5,3044,3049,46402,6.5708374639,97.525194674
National,NA,NA,All,2011-12,201233,4,3023,3027,45967,6.5851589184,96.610935382
National,NA,NA,All,2011-12,201234,4,2968,2972,46257,6.4249735175,97.220441577
National,NA,NA,All,2011-12,201235,5,3021,3026,46391,6.5228169257,97.502075474
National,NA,NA,All,2011-12,201236,2,3112,3114,46744,6.6618175595,98.243991635
National,NA,NA,All,2011-12,201237,0,3167,3167,46396,6.8260194844,97.512584201
National,NA,NA,All,2011-12,201238,1,3122,3123,46489,6.7177181699,97.708046533
National,NA,NA,All,2011-12,201239,2,3222,3224,47523,6.7840834964,99.881251379
National,NA,NA,All,2012-13,201240,5,3218,3223,47995,6.715282842,100.87327526
National,NA,NA,All,2012-13,201241,6,3324,3330,48131,6.9186179385,101.15911264
National,NA,NA,All,2012-13,201242,7,3383,3390,48831,6.9423112367,102.63033449
National,NA,NA,All,2012-13,201243,6,3382,3388,47811,7.0862353852,100.48655408
National,NA,NA,All,2012-13,201244,3,3355,3358,49035,6.8481696747,103.05909057
National,NA,NA,All,2012-13,201245,9,3441,3450,50087,6.8880148542,105.27012684
National,NA,NA,All,2012-13,201246,20,3500,3520,49825,7.0647265429,104.71946952
